Y;X1;X2
-6292;-3028;-3264
-9610;-4944;-4666
-9887;-6589;-3298
-9441;-8852;-589
-2399;-228;-2171
-8634;-2391;-6243
-12063;-6689;-5374
-2368;-279;-2089
-11145;-2146;-8999
-6087;-195;-5892
-6043;-3499;-2544
-7872;-2709;-5163
-16683;-8362;-8321
-9053;-5315;-3738
-15027;-6428;-8599
-13622;-5618;-8004
-12701;-5904;-6797
-13270;-4859;-8411
-5129;-4205;-924
-12843;-7355;-5488
-2672;-495;-2177
-10202;-7316;-2886
-12927;-4424;-8503
-7669;-3649;-4020
-10882;-3658;-7224
-5591;-4756;-835
-12805;-3518;-9287
-15697;-9688;-6009
-5286;-5178;-108
-4958;-3321;-1637
-10571;-7294;-3277
-5511;-4178;-1333
-8338;-6586;-1752
-16305;-6720;-9585
-17151;-7475;-9676
-17369;-9129;-8240
-6507;-4872;-1635
-5285;-5128;-157
-293;-232;-61
-8911;-8141;-770
-9396;-6734;-2662
-13648;-5082;-8566
-12496;-3318;-9178
-13525;-3563;-9962
-17128;-9943;-7185
-1230;-386;-844
-5198;-1235;-3963
-13300;-3893;-9407
-14446;-6622;-7824
-3951;-1292;-2659
-12724;-9668;-3056
-5411;-3927;-1484
-16753;-8983;-7770
-2397;-270;-2127
-8956;-2968;-5988
-7720;-3282;-4438
-9676;-3480;-6196
-9178;-2885;-6293
-7524;-5213;-2311
-7035;-603;-6432
-12006;-6910;-5096
-7324;-3507;-3817
-8664;-6608;-2056
-9773;-3103;-6670
-5582;-5022;-560
-12692;-5247;-7445
-18405;-9022;-9383
-12934;-8153;-4781
-13513;-7230;-6283
-10536;-2606;-7930
-9625;-2315;-7310
-18399;-9196;-9203
-9834;-6836;-2998
-11842;-9240;-2602
-4874;-4758;-116
-4950;-4472;-478
